Frequency,Chinese,Pinyin,English,Length
95,一模一样,yīmúyīyàng,Exactly,4
96,突飞猛进,tūfēiměngjìn,By leaps and bounds,4
97,刮目相看,guāmùxiāngkàn,Admiration,4
98,风风雨雨,fēng fēngyǔ yù,Ups and downs,4
99,旗帜鲜明,qízhìxiānmíng,Clear-cut,4
100,破釜沉舟,pòfǔchénzhōu,burn one's boats,4
101,独一无二,dúyīwú'èr,unique,4
102,兢兢业业,jīngjīngyèyè,Cautious and conscientious,4
103,不折不扣,bù zhé bù kòu,To the letter,4
104,五花八门,wǔhuābāmén,Multifarious,4
105,求同存异,qiútóngcúnyì,Seek common ground,4
106,无能为力,wúnéngwéilì,Powerless,4
107,一无所知,yī wú suǒ zhī,Know nothing about,4
108,一席之地,yīxízhīdì,A place,4
109,轻而易举,qīng'éryìjǔ,easy,4
110,亡羊补牢,wángyángbǔláo,Remedy the situation,4
111,默默无闻,mòmòwúwén,Unknown,4
112,迫不及待,pòbùjídài,Can not wait,4
113,有声有色,yǒushēngyǒusè,impressive,4
114,一心一意,yīxīnyīyì,Single-minded,4
115,突如其来,tūrúqílái,Sudden,4
116,异军突起,yìjūntúqǐ,Meteoric rise,4
117,喜闻乐见,xǐwénlèjiàn,Loved,4
118,任重道远,rènzhòngdàoyuǎn,Long way to go,4
119,无家可归,wú jiā kě guī,Homeless,4
120,入木三分,rùmùsānfēn,penetrating,4
121,意味深长,yìwèi shēncháng,Meaningful,4
122,继往开来,jìwǎngkāilái,The future,4
123,耳目一新,ěrmùyīxīn,Refreshing,4
124,循序渐进,xúnxùjiànjìn,Step by step,4
125,挺身而出,tǐngshēn ér chū,Come forward,4
126,滔滔不绝,tāotāo bù jué,In full flight,4
127,天翻地覆,tiānfāndìfù,Turned upside down,4
128,不言而喻,bù yán ér yù,it goes without saying,4
129,再接再厉,zàijiēzàilì,make persistent efforts,4
130,杞人忧天,qǐrényōutiān,Unfounded,4
131,风云变幻,fēngyún biànhuàn,Changing,4
132,淋漓尽致,línlíjìnzhì,Head,4
133,忧心忡忡,yōuxīnchōngchōng,Worried,4
134,直截了当,zhíjiéliǎodāng,straightforward,4
135,眼花缭乱,yǎnhuāliáoluàn,Dazzled,4
136,不屈不挠,bùqūbùnáo,indomitable,4
137,语重心长,yǔzhòngxīncháng,Earnestness,4
138,栩栩如生,xǔxǔrúshēng,Lifelike,4
139,呕心沥血,ǒuxīnlìxuè,Take infinite pains,4
140,毛遂自荐,máosuìzìjiàn,Volunteered,4
141,方兴未艾,fāngxīngwèi'ài,In the ascendant,4
142,聚精会神,jùjīnghuìshén,Attentively,4
143,比比皆是,bǐ bì jiē shì,Can be found everywhere,4
144,高瞻远瞩,gāo zhān yuǎn zhǔ,Show great foresight,4
145,无动于衷,wúdòngyúzhōng,Indifferent,4
146,迫在眉睫,pòzàiméijié,Imminent,4
147,触目惊心,chùmùjīngxīn,shocking,4
148,无济于事,wújìyúshì,To no avail,4
149,应有尽有,yīngyǒujìnyǒu,Everything,4
150,南辕北辙,nányuánběizhé,Poles apart,4
151,有朝一日,yǒuzhāoyīrì,One day,4
152,大有可为,dàyǒukěwéi,Promising,4
153,史无前例,shǐwúqiánlì,unprecedented,4
154,随心所欲,suíxīnsuǒyù,Inclinations,4
155,丰功伟绩,fēnggōngwěijī,Great achievements,4
156,不动声色,bù dòng shēngsè,Quietly,4
157,取而代之,qǔ'érdàizhī,Replace,4
158,根深蒂固,gēnshēndìgù,ingrained,4
159,久而久之,jiǔ'érjiǔzhī,Over time,4
160,四面楚歌,sìmiànchǔgē,Embattled,4
161,急功近利,jígōngjìnlì,Instant success,4
162,始终不渝,shǐzhōng bù yú,Unswervingly,4
163,一目了然,yīmùliǎorán,At a glance,4
164,量力而行,liànglì ér xíng,Do what,4
165,浩浩荡荡,hào hàodàng dàng,Mighty,4
166,雨后春笋,yǔhòuchūnsǔn,Springing,4
167,一举一动,yījǔ yīdòng,Every move,4
168,有目共睹,yǒumùgòngdǔ,All to see,4
169,欣欣向荣,xīnxīnxiàngróng,Thriving,4
170,三顾茅庐,sāngùmáolú,Highlighting,4
171,五彩缤纷,wǔcǎibīnfēn,Colorful,4
172,一本正经,yīběnzhèngjīng,In all seriousness,4
173,恍然大悟,huǎngrándàwù,Understood why,4
174,视而不见,shì'érbùjiàn,Blind,4
175,有条不紊,yǒutiáobùwěn,Methodically,4
176,别开生面,biékāishēngmiàn,Spectacular,4
177,锲而不舍,qiè'érbùshě,Perseverance,4
178,全神贯注,quánshénguànzhù,Preoccupied,4
179,万无一失,wànwúyīshī,Perfectly safe,4
180,按图索骥,àntúsuǒjì,What you want,4
181,诸如此类,zhūrúcǐlèi,Like,4
182,精益求精,jīngyìqiújīng,Excellence,4
183,一帆风顺,yīfānfēngshùn,Smooth sailing,4
184,审时度势,shěnshíduóshì,The situation,4
185,谈何容易,tánhéróngyì,Easier said than done,4
186,大势所趋,dàshìsuǒqū,Trend,4
187,潜移默化,qián yí mò huà,Imperceptibly,4
188,掉以轻心,diàoyǐqīngxīn,Lightly,4
189,此起彼伏,cǐqǐbǐfú,One after another,4
190,名落孙山,míngluòsūnshān,Fallen Sun Shan,4
191,引人入胜,yǐnrénrùshèng,fascinating,4
192,不堪设想,bùkānshèxiǎng,Be disastrous,4
193,义无反顾,yìwúfǎngù,No turning back,4
194,焕然一新,huànrányīxīn,New look,4
195,一视同仁,yīshìtóngrén,Treated equally,4
196,五颜六色,wǔyánliùsè,Colorful,4
197,束手无策,shùshǒuwúcè,Helpless,4
198,十字路口,shízìlù kǒu,crossroads,4
199,与日倶增,yǔ rì jù zēng,Increasing with the Japanese Ju,4
200,拔苗助长,bámiáozhùzhǎng,Destructive Enthusiasm,4
201,博大精深,bódàjīngshēn,Profound,4
202,喜气洋洋,xǐqìyángyáng,Jubilant,4
203,不可或缺,bùkě huò quē,Indispensable,4
204,顺理成章,shùnlǐchéngzhāng,Matter of course,4
205,大刀阔斧,dàdāokuòfǔ,Bold and decisive,4
206,不遗余力,bùyíyúlì,spare no effort,4
207,字里行间,zìlǐhángjiān,Between the lines,4
208,不解之缘,bù jiě zhī yuán,Bond,4
209,一无所有,yīwúsuǒyǒu,Nothing,4
210,守株待兔,shǒuzhūdàitù,Sit back and wait,4
211,百花齐放,bǎihuāqífàng,Flourishing,4
212,力不从心,lìbùcóngxīn,Powerless,4
213,异口同声,yìkǒutóngshēng,in unison,4
214,背道而驰,bèidào'érchí,Contrary to,4
215,势在必行,shì zài bì xíng,Imperative,4
216,当之无愧,dāngzhīwúkuì,Worthy of,4
217,咄咄逼人,duōduōbīrén,Aggressive,4
218,四通八达,sìtōngbādá,Extend in all directions,4
219,可歌可泣,kěgēkěqì,Epic,4
220,惊弓之鸟,jīnggōngzhīniǎo,Frightened,4
221,真心实意,zhēnxīn shíyì,Wholeheartedly,4
222,恰到好处,qiàdàohǎochù,Just right,4
223,津津乐道,jīnjīn lè dào,Relish,4
224,取长补短,qǔchángbǔduǎn,Learn from each other,4
225,喜出望外,xǐchūwàngwài,Overjoyed,4
226,本来面目,běnlái miànmù,true colors,4
227,脍炙人口,kuàizhìrénkǒu,Popular,4
228,自由自在,zìyóu zìzài,free,4
229,气喘吁吁,qì chuǎnxūxū,Breathless,4
230,画蛇添足,huàshétiānzú,Gild the lily,4
231,座无虚席,zuòwúxūxí,Full house,4
232,夜以继日,yèyǐjìrì,Day and night,4
233,持之以恒,chízhīyǐhéng,Persevere,4
234,针锋相对,zhēnfēngxiāngduì,Tit for tat,4
235,相得益彰,xiāngdéyìzhāng,Complement each other,4
236,念念不忘,niànniànbùwàng,Bear in mind constantly,4
237,深思熟虑,shēnsīshúlǜ,Thoughtful,4
238,独树一帜,dúshùyīzhì,Unique,4
239,惊天动地,jīngtiāndòngdì,Earth-shattering,4
240,东窗事发,dōngchuāngshìfā,Unmasked,4
241,铺天盖地,pūtiāngàidì,Overwhelming,4
242,大张旗鼓,dàzhāngqígǔ,Fanfare,4
243,彬彬有礼,bīn bīn yǒulǐ,Urbane,4
244,熙熙攘攘,xī xī rǎngrǎng,Bustling,4
245,无影无踪,wú yǐng wú zōng,Without a trace,4
246,至高无上,zhìgāowúshàng,Supreme,4
247,司空见惯,sīkōngjiànguàn,Common sight,4
248,接二连三,jiē'èrliánsān,One after another,4
249,斩钉截铁,zhǎndīngjiétiě,Categorically,4
250,滥竽充数,lànyúchōngshù,Cheating,4
251,不择手段,bùzéshǒuduàn,play hard,4
252,津津有味,jīnjīnyǒuwèi,With relish,4
253,深入浅出,shēnrùqiǎnchū,In layman's language,4
254,相提并论,xiāngtíbìnglùn,Par,4
255,深恶痛绝,shēnwùtòngjué,Hated,4
256,不可多得,bùkě duō dé,rare,4
257,沸沸扬扬,fèifèiyángyáng,Uproar,4
258,雪上加霜,xuěshàngjiāshuāng,Worse,4
259,风尘仆仆,fēngchén pú pū,Shuttles,4
260,朝三暮四,zhāosānmùsì,Chop and change,4
261,心平气和,xīnpíngqìhé,Calm,4
262,德高望重,dégāowàngzhòng,Respected,4
263,燃眉之急,ránméizhījí,Urgent needs,4
264,不厌其烦,bùyànqífán,Patiently,4
265,别出心裁,biéchūxīncái,Try to be different,4
266,不见经传,bùjiàn jīngzhuàn,unknown,4
267,蔚然成风,wèiránchéngfēng,Common practice,4
268,大惊小怪,dàjīngxiǎoguài,Fuss,4
269,千辛万苦,qiān xīn wàn kǔ,Hardships,4
270,东施效颦,dōngshīxiàopín,Mere copycat,4
271,因势利导,yīnshìlìdǎo,Make the best,4
272,千里迢迢,qiānlǐ tiáotiáo,All the way,4
273,格格不入,gégébùrù,Incompatible with,4
274,如火如荼,rúhuǒrútú,In full swing,4
275,肃然起敬,sùrán qǐ jìng,Awe,4
276,扬长避短,yángchángbìduǎn,Weaknesses,4
277,蒸蒸日上,zhēngzhēngrìshàng,Booming,4
278,胸有成竹,xiōngyǒuchéngzhú,With confidence,4
279,肆无忌惮,sìwújìdàn,Reckless,4
280,囫囵吞枣,húlúntūnzǎo,Gulping,4
281,异乎寻常,yìhū xúncháng,unusual,4
282,赏心悦目,shǎngxīnyuèmù,Pleasing,4
283,古往今来,gǔwǎngjīnlái,Through the ages,4
284,大有作为,dàyǒuzuòwéi,Accomplish much,4
285,集思广益,jísīguǎngyì,Brainstorming,4
286,一应倶全,yīyīng jù quán,One should be full,4
287,不得而知,bùdé ér zhī,To be unable to find out,4
288,提心吊胆,tíxīndiàodǎn,Tenterhooks,4
289,货真价实,huòzhēnjiàshí,Genuine,4
290,鸡犬升天,jīquǎnshēngtiān,Dogs rise to heaven,4
291,奋不顾身,fènbùgùshēn,Selfless,4
292,精打细算,jīngdǎxìsuàn,Reckoning,4
293,目不转睛,mùbùzhuǎnjīng,Intently,4
294,车水马龙,chēshuǐmǎlóng,Busy,4
295,一望无际,yīwàngwújì,Endless,4
296,一成不变,yīchéngbùbiàn,Immutable,4
297,脱口而出,tuōkǒu'érchū,Blurted,4
298,生气勃勃,shēngqì bóbó,Lively,4
299,天经地义,tiānjīngdìyì,Unalterable,4
300,狐假虎威,hújiǎhǔwēi,Fox Tiger,4
301,了如指掌,liǎorúzhǐzhǎng,Well aware,4
302,别有用心,biéyǒuyòngxīn,Ulterior motives,4
303,五光十色,wǔguāngshísè,Bright lights,4
304,不合时宜,bùhéshíyí,Outdated,4
305,富丽堂皇,fùlì tánghuáng,Grandeur,4
306,马不停蹄,mǎbùtíngtí,nonstop,4
307,开门见山,kāiménjiànshān,Straight to the point,4
308,别具一格,biéjùyīgé,Having a unique style,4
309,一针见血,yīzhēnjiànxiě,Sharply,4
310,草木皆兵,cǎomùjiēbīng,Panic,4
311,专心致志,zhuānxīnzhìzhì,Dedicated,4
312,堂堂正正,tángtángzhèngzhèng,Upright,4
313,泣不成声,qìbùchéngshēng,Broke down in tears,4
314,无与伦比,wúyǔlúnbǐ,Unmatched,4
315,素不相识,sù bù xiāngshí,Strangers,4
316,堂而皇之,táng'érhuángzhī,Openly,4
317,训练有素,xùnliàn yǒu sù,Trained,4
318,刻骨铭心,kègǔmíngxīn,Unforgettable,4
319,不屑一顾,bùxiè yī gù,Dismissive,4
320,对牛弹琴,duìniútánqín,Howling at the moon,4
321,助人为乐,zhùrén wéi lè,Helping others,4
322,衣食住行,yīshízhùxíng,Basic necessities,4
323,不胜枚举,bùshèng méi jǔ,The list goes on,4
324,赞不绝口,zàn bù juékǒu,Praise,4
325,大名鼎鼎,dàmíngdǐngdǐng,famous,4
326,如数家珍,rúshǔjiāzhēn,Very familiar,4
327,跃跃欲试,yuèyuèyùshì,Eager to,4
328,古色古香,gǔsègǔxiāng,antique,4
329,推波助澜,tuībōzhùlán,Fueled,4
330,班门弄斧,bān mén nòng fǔ,Trespass,4
331,光明磊落,guāngmínglěiluò,Honorable,4
332,川流不息,chuānliúbùxī,Steady stream,4
333,迎刃而解,yíngrèn'érjiě,Solved,4
334,对症下药,duìzhèngxiàyào,Remedy,4
335,热火朝天,rèhuǒcháotiān,In full swing,4
336,不足为奇,bùzú wéi qí,Not surprising,4
337,脱胎换骨,tuōtāihuàngǔ,Reborn,4
338,扬眉吐气,yángméitǔqì,Elated,4
339,荡然无存,dàngrán wú cún,Gone,4
340,叶公好龙,yègōnghàolóng,Belie,4
341,一脉相承,yīmàixiāngchéng,The same strain,4
342,置之不理,zhìzhībùlǐ,Ignore,4
343,身先士卒,shēnxiānshìzú,Take the lead,4
344,精神抖擞,jīngshén dǒusǒu,Full of energy,4
345,侃侃而谈,kǎnkǎn ér tán,Talking about,4
346,诚心诚意,chéngxīn chéngyì,Earnestly and sincerely,4
347,千军万马,qiān jūn wàn mǎ,The powerful army,4
348,绞尽脑汁,jiǎo jǐn nǎozhī,Brains,4
349,垂头丧气,chuítóusàngqì,dejected,4
350,掩耳盗铃,yǎn'ěrdàolíng,Deceiving,4
351,日复一日,rì fù yī rì,day to day,4
352,奄奄一息,yǎnyānyīxī,Dying,4
353,千载难逢,qiānzǎinánféng,Lifetime,4
354,未雨绸缪,wèiyǔchóumóu,Take precautions,4
355,居高临下,jūgāolínxià,Condescending,4
356,心安理得,xīn'ānlǐdé,Peace of mind,4
357,一意孤行,yīyìgūxíng,Insists,4
358,三令五申,sānlìngwǔshēn,Injunctions,4
359,依依不舍,yī yī bù shě,Reluctantly,4
360,乐不思蜀,lèbùsīshǔ,Reluctant to leave,4
361,叹为观止,tànwéiguānzhǐ,Breathtaking,4
362,大有人在,dà yǒurén zài,A lot of people,4
363,雪中送炭,xuězhōngsòngtàn,Timely help,4
364,一筹莫展,yīchóumòzhǎn,Do nothing,4
365,水泄不通,shuǐxièbùtōng,Packed,4
366,相依为命,xiāngyīwéimìng,Dependence,4
367,街头巷尾,jiētóuxiàngwěi,The streets,4
368,无微不至,wúwēibùzhì,Meticulous,4
369,不假思索,bùjiǎsīsuǒ,Unthinkingly,4
370,江郎才尽,jiānglángcáijìn,Downhill,4
371,不相上下,bù xiāng shàngxià,About the same,4
372,居安思危,jū'ānsīwēi,Be prepared,4
373,近在咫尺,jìn zài zhǐchǐ,In close proximity,4
374,卷土重来,juǎntǔchónglái,Bounce back,4
375,冰天雪地,bīngtiānxuědì,Ice and snow,4
376,有的放矢,yǒudìfàngshǐ,Targeted,4
377,一尘不染,yīchénbùrǎn,Spotless,4
378,事半功倍,shìbàngōngbèi,More with less,4
379,不同凡响,bùtóng fánxiǎng,Outstanding,4
380,井底之蛙,jǐngdǐzhīwā,Frog,4
381,大同小异,dàtóngxiǎoyì,Much the same,4
382,谈笑风生,tánxiàofēngshēng,Laughing,4
383,不亦乐乎,bù yì lè hū,Awfully,4
384,承前启后,chéngqiánqǐhòu,Past and,4
385,同甘共苦,tónggāngòngkǔ,share weal and woe,4
386,明目张胆,míngmùzhāngdǎn,flagrant,4
387,耳闻目睹,ěrwén mùdǔ,Seen and heard,4
388,啼笑皆非,tíxiàojiēfēi,Ridiculous,4
389,死灰复燃,sǐhuīfùrán,Resurgence,4
390,塞翁失马,sàiwēngshīmǎ,Blessing in disguise,4
391,口口声声,kǒukǒushēngshēng,Keeps,4
392,水落石出,shuǐluòshíchū,Get to the bottom,4
393,我行我素,wǒxíngwǒsù,Own way,4
394,望而却步,wàng'érquèbù,Discouraged,4
395,有血有肉,yǒuxuèyǒuròu,Vivid,4
396,天涯海角,tiānyáhǎijiǎo,Ends of the Earth,4
397,轻描淡写,qīngmiáodànxiě,Touch on lightly,4
398,哭笑不得,kūxiàobùdé,Dumbfounding,4
399,自告奋勇,zìgàofènyǒng,Volunteer,4
400,指鹿为马,zhǐlùwéimǎ,Distorting the facts,4
401,设身处地,shèshēnchǔde,put yourself in,4
402,天方夜谭,tiānfāng yè tán,You're lying,4
403,雅俗共赏,yǎsúgòngshǎng,Tastes,4
404,无所适从,wúsuǒshìcóng,Loss,4
405,不容置疑,bùróng zhìyí,No doubt,4
406,流连忘返,liúliánwàngfǎn,Linger,4
407,翻来覆去,fānláifùqù,Over and over again,4
408,无中生有,wúzhōngshēngyǒu,Nothing,4
409,庞然大物,pángrándàwù,giant,4
410,黔驴技穷,qiánlǘjìqióng,Wits,4
411,三三两两,sānsānliǎngliǎng,Just a few,4
412,发号施令,fāhàoshīlìng,Issue orders,4
413,心旷神怡,xīnkuàngshényí,Relaxed and happy,4
414,雷厉风行,léilìfēngxíng,Resolutely,4
415,朝夕相处,zhāoxìxiāngchǔ,From morning till evening,4
416,踌躇满志,chóuchúmǎnzhì,smug,4
417,金碧辉煌,jīn bì huīhuáng,Magnificent,4
418,同舟共济,tóngzhōugòngjì,Help each other,4
419,志同道合,zhìtóngdàohé,Like-minded,4
420,唇亡齿寒,chúnwángchǐhán,Chunwangchihan,4
421,柳暗花明,liǔ'ànhuāmíng,Vista,4
422,袖手旁观,xiùshǒupángguān,Stand by,4
423,豁然开朗,huòrán kāilǎng,suddenly see the light,4
424,诗情画意,shīqínghuàyì,Poetic,4
425,同日而语,tóngrì ér yǔ,Same breath,4
426,曾几何时,céngjǐhéshí,once Upon a time,4
427,高高在上,gāogāozàishàng,High above,4
428,一往情深,yīwǎngqíngshēn,Fond,4
429,痛心疾首,tòngxīnjíshǒu,Bitter,4
430,鹬蚌相争，渔翁得利,"yù bàng xiāng zhēng, yúwēng dé lì","Two dogs fight, play off",9
431,无时无刻,wúshíwúkè,All the time,4
432,欢天喜地,huāntiānxǐdì,Rapture,4
433,殚精竭虑,dānjīngjiélǜ,Rack one's brains,4
434,通情达理,tōngqíngdálǐ,Reasonable,4
435,从天而降,cóngtiān'érjiàng,Heaven,4
436,井井有条,jǐngjǐngyǒutiáo,In perfect order,4
437,苦口婆心,kǔkǒupóxīn,Well-meaning,4
438,人山人海,rénshānrénhǎi,Crowded,4
439,运筹帷幄,yùnchóuwéiwò,Strategizing,4
440,才高八斗,cái gāo bā dǒu,You are wise,4
441,沾沾自喜,zhānzhānzìxǐ,Complacent,4
442,皆大欢喜,jiēdàhuānxǐ,Happy,4
443,大千世界,dàqiān shìjiè,Boundless,4
444,举一反三,jǔyīfǎnsān,learn by analogy,4
445,不了了之,bù liǎo liǎo zhī,Nothing,4
446,得不偿失,débùchángshī,More harm than good,4
447,偷工减料,tōugōngjiǎnliào,Jerry,4
448,高屋建瓴,gāowūjiànlíng,A strategically advantageous position,4
449,恋恋不舍,liànliànbùshě,Reluctantly,4
450,围魏救赵,wéiwèijiùzhào,Wei Wei saves Zhao,4
451,花团锦簇,huātuánjǐncù,Flowers,4
452,悲欢离合,bēihuānlíhé,Joys and sorrows,4
453,今非昔比,jīn fēi xī bǐ,Not what,4
454,一事无成,yīshìwúchéng,Nothing,4
455,不伦不类,bùlúnbùlèi,nondescript,4
456,家常便饭,jiāchángbiànfàn,Commonplace,4
457,平心而论,píngxīn'érlùn,In all fairness,4
458,变本加厉,biànběnjiālì,Further intensified,4
459,名正言顺,míngzhèngyánshùn,Perfectly justifiable,4
460,望梅止渴,wàngméizhǐkě,Fancies,4
461,意气风发,yìqìfēngfā,High-spirited,4
462,双管齐下,shuāngguǎnqíxià,Two-pronged,4
463,含辛茹苦,hánxīnrúkǔ,Parenting deserves appreciation,4
464,立竿见影,lìgānjiànyǐng,Get instant results,4
465,冲锋陷阵,chōngfēngxiànzhèn,Strikes,4
466,水到渠成,shuǐdàoqúchéng,Matter of course,4
467,危言耸听,wēiyánsǒngtīng,Alarmist,4
468,何去何从,héqùhécóng,Go from here,4
469,有求必应,yǒuqiúbìyìng,Responsive,4
470,杯弓蛇影,bēigōngshéyǐng,extremely suspicious,4
471,风平浪静,fēngpínglàngjìng,Calm,4
472,逍遥法外,xiāoyáofǎwài,Impunity,4
473,灯红酒绿,dēng hóngjiǔ lǜ,Debauchery,4
474,顶天立地,dǐngtiānlìdì,Indomitable spirit,4
475,有鉴于此,yǒu jiànyú cǐ,In view of this,4
476,义愤填膺,yìfèntiányīng,Indignation,4
477,不可告人,bùkě gào rén,hidden,4
478,指手画脚,zhǐshǒuhuàjiǎo,Gesticulate,4
479,简明扼要,jiǎnmíng èyào,Concisely,4
480,螳螂捕蝉，黄雀在后,"tángláng bǔ chán, huáng què zài hòu","Mantis stalks the cicada, oriole in the post",9
481,一举两得,yījǔliǎngdé,Do both,4
482,置之度外,zhìzhīdùwài,disregard,4
483,永垂不朽,yǒngchuíbùxiǔ,Immortal,4
484,美中不足,měizhōngbùzú,a fly in the ointment,4
485,人声鼎沸,rén shēng dǐngfèi,Voices,4
486,天真烂漫,tiānzhēn lànmàn,Naivety,4
487,就事论事,jiùshìlùnshì,The sake of discussion,4
488,大手大脚,dàshǒudàjiǎo,Wasteful,4
489,漫山遍野,mànshānbiànyě,Mountains and plains,4
490,刻舟求剑,kèzhōuqiújiàn,Disregard the changing circumstances,4
491,生龙活虎,shēnglónghuóhǔ,Staying Alive,4
492,不甘示弱,bùgān shìruò,Not to be outdone,4
493,循循善诱,xúnxúnshànyòu,Motherhood,4
494,万家灯火,wàn jiā dēnghuǒ,Lighted,4
495,执迷不悟,zhímíbùwù,Unrepentant,4
496,千疮百孔,qiān chuāng bǎi kǒng,Full of holes,4
497,悬崖勒马,xuányálèmǎ,The precipice,4
498,半斤八两,bànjīnbāliǎng,Private Eyes,4
499,共襄盛举,gòng xiāng shèngjǔ,Total success,4
500,五十步笑百步,wǔshí bù xiào bǎi bù,Kettle black,6
