Frequency,Chinese,Pinyin,English,Length
107,以牙还牙，以眼还眼,"yǐyáháiyá, yǐ yǎn hái yǎn","Tooth for a tooth, an eye for an eye",9
108,跑了和尚跑不了庙,pǎole héshàng pǎo bùliǎo miào,He ran the temple monks stand,8
109,绿帽子,lǜmàozi,Green Hat,3
110,识时务者为俊杰,shí shíwù zhě wéi jùnjié,Servers are clever,7
111,井水不犯河水,jǐng shuǐ bùfàn héshuǐ,Well water does not commit river water,6
112,一棵树上吊死,yī kē shù shàng diào sǐ,Hang in a tree,6
113,放鸽子,fàng gēzi,Bouncing,3
114,一步一个脚印,yī bù yīgè jiǎoyìn,Step by step,6
115,上梁不正下梁歪,shàng liáng bùzhèng xià liáng wāi,The beam is not right under the beam,7
116,不入虎穴，焉得虎子,"bù rù hǔxué, yān dé hǔ zi","Nothing ventured, nothing gained",9
117,赔了夫人又折兵,péile fūrén yòu zhé bīng,Throw good money after bad,7
118,有心栽花花不长，无心插柳柳成荫,"yǒuxīn zāi huāhuā bu zhǎng, wúxīn chā liǔ liǔchéngyīn","Determined to grow flowers do not grow, unintentional positive outcomes",15
119,八字还没一撇,bāzì hái méi yī piē,Character not even got off,6
120,有眼不识泰山,yǒu yǎn bù shí tàishān,There did not know,6
121,出气筒,chūqìtǒng,Punching bag,3
122,八九不离十,bājiǔ bùlí shí,pretty close,5
123,无风不起浪,wúfēngbùqǐlàng,"No wind, no wave",5
124,得便宜卖乖,dé piányí màiguāi,Too cheap cold,5
125,不是省油的灯,bùshì shěngyóu de dēng,Not out of trouble,6
126,家丑不可外扬,jiāchǒu bùkě wàiyáng,Not wash your dirty linen in public,6
127,背黑锅,bēihēiguō,Be a scapegoat,3
128,兔子不吃窝边草,tùzǐ bù chī wō biān cǎo,Rabbit does not eat the grass edge,7
129,铁饭碗,tiě fànwǎn,iron rice bowl,3
130,冰冻三尺，非一日之寒,"bīngdòng sān chǐ, fēi yī rì zhī hán",Rome was not built in a day,10
131,远亲不如近邻,yuǎnqīn bùrú jìnlín,Neighbor is better than distant relatives,6
132,下马威,xiàmǎwēi,Blow,3
133,天下乌鸦一般黑,tiānxià wūyā yībān hēi,The world crows are generally black,7
134,不到黄河心不死,bù dào huánghéxīn bùsǐ,Refuse to give up until all hope is gone,7
135,狗急了跳墙,gǒu jíle tiào qiáng,Gouji jump off the wall,5
136,狗眼看人低,gǒu yǎnkàn rén dī,Snob,5
137,只许州官放火，不许百姓点灯,"zhǐ xǔ zhōu guān fànghuǒ, bùxǔ bǎixìng diǎndēng",oppressive rule,13
138,偷鸡摸狗,tōujīmōgǒu,Sly,4
139,死马当活马医,sǐ mǎ dāng huó mǎ yī,Dead horse a living horse medicine,6
140,新官上任三把火,xīn guān shàngrèn sān bǎ huǒ,New broom sweeps clean,7
141,对号入座,duìhàorùzuò,Condemnation,4
142,十万八千里,shí wàn bāqiān lǐ,Galaxy,5
143,露马脚,lòumǎjiǎo,Cloven hoof,3
144,公说公有理，婆说婆有理,"gōng shuō gōng yǒulǐ, pó shuō pó yǒulǐ","Public that goes, rational woman and she said",11
145,上刀山，下火海,"shàng dāo shān, xià huǒhǎi",On ordered by the flames,7
146,打退堂鼓,dǎtuìtánggǔ,Back down,4
147,磨刀不误砍柴工,mó dāo bù wù kǎn chái gōng,Preparation may quicken the work,7
148,风马牛不相及,fēng mǎ niú bù xiāng jí,Irrelevant,6
149,一山不容二虎,yīshānbùróng'èrhǔ,Mountain can not be two tigers,6
150,眼里揉不得沙子,yǎn lǐ róu bùdé shāzi,Not rub the eyes of sand,7
151,三下五除二,sān xià wǔ chú èr,Neat and quick,5
152,泼冷水,pōlěngshuǐ,pour cold water on,3
153,杀鸡给猴看,shā jī gěi hóu kàn,A warning to others,5
154,生米做成熟饭,shēng mǐ zuò chéngshú fàn,Do mature rice uncooked rice,6
155,初生牛犊不怕虎,chūshēng niúdú bùpà hǔ,Fearless,7
156,铁公鸡,tiěgōngjī,stingy person,3
157,无事不登三宝殿,wú shì bù dēng sān bǎodiàn,bother you for something,7
158,马后炮,mǎhòupào,Belated effort,3
159,掉链子,diào liànzi,The ball dropped,3
160,纸老虎,zhǐlǎohǔ,Paper tiger,3
161,狐狸精,húlíjīng,Vixen,3
162,丑话说在前头,chǒu huàshuō zài qiántou,Ugly words at the head,6
163,半路杀出个程咬金,bànlù shā chū gè chéng yǎo jīn,Grab a Cheng Yaojin,8
164,麻雀虽小，五脏俱全,"máquè suī xiǎo, wǔzàng jùquán",Small but complete,9
165,虎毒不食子,hǔ dú bù shí zǐ,Tiger poison does not eat,5
166,小不忍则乱大谋,xiǎo bùrěn zé luàn dà móu,A small leak will sink a great ship,7
167,打狗还得看主人,dǎ gǒu hái dé kàn zhǔrén,Dog owners will have to see,7
168,万事俱备，只欠东风,"wànshì jù bèi, zhǐ qiàn dōngfēng",All is ready except for the opportunity,9
169,不管黑猫白猫，会捉老鼠就是好猫,"bùguǎn hēi māo bái māo, huì zhuō lǎoshǔ jiùshì hǎo māo","Whether black or white, it catches mice is a good cat",15
170,真金不怕火炼,zhēn jīn bùpà huǒ liàn,True gold fears no fire,6
171,狗改不了吃屎,gǒu gǎi bùliǎo chī shǐ,Dogs eat shit,6
172,杀手锏,shāshǒujiàn,Killer,3
173,饥不择食,jībùzéshí,Beggars,4
174,对事不对人,duì shì bùduì rén,Not the person,5
175,皮笑肉不笑,pí xiào ròu bùxiào,He is tightlipped,5
176,双刃剑,shuāng rèn jiàn,Double-edged sword,3
177,热脸贴冷屁股,rè liǎn tiē lěng pìgu,Hot face to cold ass,6
178,好了伤疤忘了疼,hǎole shāngbā wàngle téng,"Well, the pain is forgotten",7
179,醋坛子,cùtánzi,Jealous,3
180,君子之交淡如水,jūnzǐ zhī jiāo dàn rúshuǐ,Civil use,7
181,三个和尚没水吃,sān gè héshàng méi shuǐ chī,Three monks no water to drink,7
182,赶鸭子上架,gǎn yāzi shàngjià,Catch the duck on the shelf,5
183,小白脸,xiǎobáiliǎn,Bitch,3
184,放长线，钓大鱼,"fàng chángxiàn, diào dà yú",Long line to catch a big fish,7
185,依葫芦画瓢,yī húlu huà piáo,Gourd painting,5
186,隔墙有耳,géqiángyǒu'ěr,Walls have ears,4
187,巧妇难为无米之炊,qiǎo fù nánwéi wúmǐzhīchuī,Make bricks without straw,8
188,不是吃素的,bùshì chīsù de,Not a vegetarian,5
189,嫁鸡随鸡，嫁狗随狗,"jià jī suí jī, jià gǒu suí gǒu","Marry a chicken with the chicken, marry a dog as a dog",9
190,打开天窗说亮话,dǎkāi tiānchuāng shuō liànghuà,Open the skylight and speak brightly,7
191,人算不如天算,rén suàn bùrú tiān suàn,Unexpected outbreak,6
192,小动作,xiǎodòngzuò,Trick,3
193,远水解不了近渴,yuǎn shuǐjiě bùliǎo jìn kě,Far will not be forthcoming,7
194,占着茅坑不拉屎,zhànzhe máokēng bù lā shǐ,Dog in the manger,7
195,碰一鼻子灰,pèng yī bízi huī,be snubbed,5
196,死猪不怕开水烫,sǐ zhū bùpà kāishuǐ tàng,Dead pig afraid of water hot,7
197,换汤不换药,huàn tāng bù huàn yào,A new name,5
198,救命稻草,jiùmìng dàocǎo,Straw,4
199,明枪易躲，暗箭难防,"míng qiāng yì duǒ, ànjiàn nán fáng","Easy to hide the gun, stab difficult to prevent",9
200,谋事在人，成事在天,"móushì zài rén, chéngshì zài tiān","Man proposes, God disposes",9
201,三个女人一台戏,sān gè nǚrén yī tái xì,Three women in a drama,7
202,有鼻子有眼,yǒubíziyǒuyǎn,A nose with eyes,5
203,枪打出头鸟,qiāng dǎchūtóu niǎo,Good deed goes unpunished,5
204,碰钉子,pèngdīngzi,hit a snag,3
205,蹬鼻子上脸,dēng bízi shàng liǎn,Kicking his nose on the face,5
206,吃豆腐,chī dòufu,eat tofu,3
207,眉毛胡子一把抓,méi mao húzi yībǎzhuā,Eyebrows and beard grabbed,7
208,偷鸡不成反蚀把米,tōu jī bùchéng fǎn shí bǎ mǐ,Anti-eclipse the rice gained nothing,8
209,众人拾柴火焰高,zhòngrén shí chái huǒyàn gāo,The more the merrier,7
210,快刀斩乱麻,kuàidāo zhǎn luànmá,Cut the Gordian knot,5
211,吃软饭,chī ruǎn fàn,Eat soft food,3
212,一着不慎，满盘皆输,"yīzhe bù shèn, mǎn pán jiē shū",One good turn deserves another,9
213,听风就是雨,tīng fēng jiùshì yǔ,Ting Feng is the rain,5
214,鸿门宴,hóngményàn,Banquet,3
215,吃哑巴亏,chī yǎbākuī,Loss of food,4
216,眼中钉、肉中刺,"yǎnzhōngdīng, ròuzhōngcì",Thorn in the flesh,7
217,舍不得孩子套不住狼,shěbudé háizi tào bù zhù láng,Could not bear a child sets the wolf,9
218,挂羊头、卖狗肉,"guà yáng tóu, mài gǒuròu",Trickery,7
219,煮熟的鸭子飞了,zhǔ shú de yā zǐ fēile,Cooked duck fly,7
220,常在河边走，哪有不湿鞋,"cháng zài hé biān zǒu, nǎ yǒu bù shī xié","Often in the river walk, how can we avoid wet shoes",11
221,三脚猫,sānjiǎo māo,House divided against itself,3
222,吃闭门羹,chībìméngēng,Admitted by,4
223,三十年河东，三十年河西,"sānshí nián hédōng, sānshí nián hé xī","Three decades east, west three years",11
224,土包子,tǔbāozi,Bumpkin,3
225,树大招风,shùdàzhāofēng,being targeted,4
226,酒逢知己千杯少,jiǔ féng zhījǐ qiān bēi shǎo,Wine is a cup of tea,7
227,当一天和尚撞一天钟,dāng yītiān héshàng zhuàng yītiān zhōng,When one day a monk clock hit one,9
228,是骡子是马拉出来遛遛,shì luózi shì mǎ lā chūlái liú liú,Is a mule is a horse out of a walk,10
229,一个鼻孔出气,yīgè bíkǒng chūqì,Singing the same tune,6
230,身在曹营心在汉,shēn zài cáo yíng xīn zài hàn,Cao Ying Chinese heart,7
231,瘦死的骆驼比马大,shòu sǐ de luòtuó bǐ mǎ dà,Thin dead camel than Martha,8
232,树欲静而风不止,shù yù jìng ér fēng bùzhǐ,The tree still while the wind blows,7
233,丑媳妇早晚也得见公婆,chǒu xífù zǎowǎn yě dé jiàn gōngpó,Chou Xifu sooner or later have to see her,10
234,胜者王侯败者贼,shèng zhě wánghóu bài zhě zéi,The winner princely losers thief,7
235,下三烂,xiàsānlàn,Tatters,3
236,上了贼船,shàngle zéi chuán,On a pirate ship,4
237,病急乱投医,bìng jí luàn tóuyī,Styled,5
238,打如意算盘,dǎ rúyì suànpán,Wishful thinking,5
239,龙生龙，凤生凤,"lóng shēng lóng, fèng shēng fèng","Born dragon, chicken born chicken",7
240,不看僧面看佛面,bù kàn sēng miàn kàn fó miàn,Do not look see Buddhist monks face surface,7
241,雷声大、雨点小,"léi shēng dà, yǔdiǎn xiǎo","Thunder, little rain",7
242,脸红脖子粗,liǎnhóng bózi cū,Got angry,5
243,一棍子打死,yī gùnzi dǎ sǐ,Beat him to death,5
244,拿鸡蛋碰石头,ná jīdàn pèng shítou,Take an egg against a stone,6
245,没有不透风的墙,méiyǒu bù tòufēng de qiáng,Not an unventilated wall,7
246,人怕出名猪怕壮,rén pà chūmíng zhū pà zhuàng,Afraid of strong people afraid of becoming famous pig,7
247,山中无老虎，猴子称大王,"shānzhōng wú lǎohǔ, hóuzi chēng dàwáng","Mountains tiger, monkey king",11
248,杀鸡焉用宰牛刀,shā jī yān yòng zǎi niúdāo,Slaughter chickens Yanyong chopper,7
249,大树底下好乘凉,dà shù dǐxia hǎo chéngliáng,Good shade tree,7
250,跑龙套,pǎolóngtào,play a small role,3
251,七大姑，八大姨,"qī dà gū, bā dàyí",Seven Regardless of eight aunt,7
252,一是一，二是二,"yī shì yī, èr shì èr","First, a second, second",7
253,多个朋友多条路,duō gè péngyǒu duō tiáo lù,Way more than friends,7
254,下台阶,xià táijiē,Down the steps,3
255,打小算盘,dǎ xiǎo suànpán,Abacus,4
256,坐山观虎斗,zuò shān guān hǔ dòu,Show from the sidelines,5
257,羊毛出在羊身上,yángmáo chū zài yáng shēnshang,Fleece,7
258,一口吃成个胖子,yīkǒu chī chéng gè pàngzi,Bite into a fat man,7
259,屋漏偏逢连阴雨,wū lòu piān féng liányīnyǔ,"Leaky house, with rain every",7
260,老油条,lǎo yóutiáo,Oil Stick,3
261,捅马蜂窝,tǒng mǎfēngwō,Stir up a hornets' nest,4
262,小意思,xiǎoyìsi,Piece of cake,3
263,倒打一耙,dàodǎyībà,Falsely accuse,4
264,陈芝麻、烂谷子,"chén zhīma, làn gǔzi",Chen sesame rotten corn,7
265,一条龙,yītiáo lóng,Train,3
266,四两拨千斤,sìliǎngbōqiānjīn,Skillfully deflected,5
267,前怕狼，后怕虎,"qián pà láng, hòupà hǔ","Before the fear of the wolf, scared the tiger",7
268,吃水不忘挖井人,chīshuǐ bù wàng wā jǐng rén,Draft forget who dug,7
269,有仇不报非君子,yǒu chóu bù bào fēi jūnzǐ,Do not report any grudges against non-gentleman,7
270,不倒翁,bùdǎowēng,tumbler,3
271,干打雷，不下雨,"gān dǎléi, bù xià yǔ",Dry thunder without rain,7
272,鸡飞狗跳,jī fēi gǒu tiào,Flying chicken jumps,4
273,事后诸葛亮,shìhòu zhūgéliàng,Hindsight,5
274,落水狗,luòshuǐgǒu,Reservoir Dogs,3
275,板上钉钉,bǎnshàngdìngdīng,That clinches it,4
276,一碗水端平,yī wǎn shuǐ duān píng,Equal justice,5
277,烫手的山芋,tàngshǒu de shānyù,Hot potato,5
278,笑掉大牙,xiào diào dàyá,Laugh,4
279,一回生，二回熟,"yī huíshēng, èr huí shú","A resuscitation, two back cooked",7
280,鱼与熊掌不可得兼,yú yǔ xióng zhǎng bùkě dé jiān,Fish and can not have both,8
281,咸鱼翻身,xián yú fānshēn,Re-energized,4
282,一根绳上的蚂蚱,yī gēn shéng shàng de mà zhà,A rope grasshopper,7
283,趟浑水,tāng hún shuǐ,Muddy water,3
284,狗腿子,gǒutuǐzi,Henchman,3
285,用在刀刃上,yòng zài dāorèn shàng,Wisely,5
286,鸡飞蛋打,jīfēidàndǎ,Chicken eggs hit,4
287,胳膊扭不过大腿,gēbó niǔ bù guo dàtuǐ,"Arm twisting, but the thigh",7
288,饱汉不知饿汉饥,bǎo hàn bùzhī è hàn jī,I do not know-fed starving suffer,7
289,笑面虎,xiàomiànhǔ,Smiling tiger,3
290,二,èr,two,1
291,给力,gěilì,awesome,2
292,母老虎,mǔ lǎohǔ,tigress,3
293,五十步笑百步,wǔshí bù xiào bǎi bù,Kettle black,6
294,门外汉,ménwàihàn,layman,3
295,前人栽树，后人乘凉,"qián rén zāi shù, hòu rén chéngliáng","Predecessors trees, descendants cool",9
296,烂泥扶不上墙,lànní fú bù shàng qiáng,Mud on the wall does not help,6
297,关公面前耍大刀,guāngōng miànqián shuǎ dàdāo,Guan Gong in front of the masters,7
298,高不成，低不就,"gāo bùchéng, dī bù jiù","High fragmentation, low not",7
299,胳膊肘往外扭,gēbó zhǒu wǎngwài niǔ,Twisted his elbow out,6
300,长痛不如短痛,zhǎng tòng bùrú duǎn tòng,Long pain as short-term pain,6
301,酒香不怕巷子深,jiǔ xiāng bùpà xiàngzi shēn,Sell ​​themselves,7
302,一条路走到黑,yītiáo lù zǒu dào hēi,A road go black,6
303,不是鱼死，就是网破,"bùshì yú sǐ, jiùshì wǎng pò","Not a fish die, that net broken",9
304,冰山一角,bīng shān yījiǎo,tip of the iceberg,4
305,身体是革命的本钱,shēntǐ shì gémìng de běnqián,The body is the capital of revolution,8
306,说风凉话,shuō fēngliánghuà,Gloating,4
307,紧箍咒,jǐngūzhòu,Straitjacket,3
308,唱双簧,chàng shuānghuáng,collaborate with each other,3
309,开空白支票,kāi kòngbái zhīpiào,A blank check,5
310,保护伞,bǎohùsǎn,Umbrella,3
311,一个萝卜一个坑,yīgè luóbo yīgè kēng,A carrot a pit,7
312,狗咬狗,gǒuyǎogǒu,Dog Bite Dog,3
313,唱高调,chàng gāodiào,Chant bombastic words,3
314,打水漂,dǎ shuǐ piào,Naught,3
315,开小差,kāixiǎochāi,Desert,3
316,两面派,liǎngmiànpài,Double-dealing,3
317,一盘散沙,yīpánsǎnshā,Mess,4
318,和稀泥,huò xīní,Half-hearted,3
319,敲竹杠,qiāozhúgàng,Rip-off,3
320,扯后腿,chě hòu tuǐ,Che Houtui,3
321,穿小鞋,chuānxiǎoxié,Make trouble,3
322,给他一点颜色看看,gěi tā yīdiǎn yánsè kàn kàn,Give him a little color to see,8
323,天高皇帝远,tiān gāo huángdì yuǎn,Day high and the emperor far away,5
324,拣软柿子捏,jiǎn ruǎn shìzi niē,Pick any punches either pinching,5
325,打马虎眼,dǎmǎhǔyǎn,act dumb,4
326,千里马,qiānlǐmǎ,Maxima,3
327,打擦边球,dǎ cābiānqiú,Walking a fine line,4
328,摸着石头过河,mōzhe shítouguò hé,Trial and error,6
329,半路出家,bànlùchūjiā,Without solid foundation,4
330,老狐狸,lǎohúlí,Old fox,3
331,一窝蜂,yīwōfēng,Rush,3
332,开夜车,kāiyèchē,Work at night,3
333,手心手背都是肉,shǒuxīn shǒubèi dōu shì ròu,Palm back of the hand are the meat,7
334,缩头乌龟,suō tóu wūguī,Coward,4
335,走过场,zǒuguòchǎng,Going through the motions,3
336,做文章,zuò wénzhāng,Make an issue,3
337,吃大锅饭,chī dàguōfàn,Mess together,4
338,戴高帽,dài gāo mào,Wear a dunce cap,3
339,秋后算账,qiūhòusuànzhàng,The usual suspects,4
340,僧多粥少,sēngduōzhōushǎo,Demand exceeds supply,4
341,坐冷板凳,zuò lěng bǎndèng,Sitting on the bench,4
342,不当家不知柴米贵,bùdāng jiā bùzhī cháimǐ guì,Improper leading a poor family I do not know your,8
343,红眼病,hóngyǎnbìng,Pink eye,3
344,葫芦里卖的是什么药,húlu lǐ mài de shì shénme yào,What is snake oil medicine,9
345,三句话不离本行,sān jù huà bùlí běn háng,Shoppy,7
346,糖衣炮弹,tángyī pàodàn,Sugar-coated bullets,4
347,树倒猢狲散,shù dǎo húsūn sàn,Collapse and disappear,5
348,硬骨头,yìng gǔtou,Unyielding person,3
349,二虎相争，必有一伤,"èr hǔ xiāng zhēng, bì yǒuyī shāng","Tigers fight, there must be an injury",9
350,拆东墙，补西墙,"chāi dōng qiáng, bǔ xī qiáng",rob Peter to pay Paul,7
351,大鱼吃小鱼,dà yú chī xiǎo yú,Feeding Frenzy,5
352,狐狸尾巴露出来了,húlí wěibā lùchūláile,Fox tail exposed,8
353,开绿灯,kāilǜdēng,Green light,3
354,歪瓜裂枣,wāi guā liè zǎo,Crooked melon split dates,4
355,小辫子,xiǎo biànzi,Pigtail,3
356,一头雾水,yītóu wù shuǐ,Confused,4
357,隔行如隔山,géháng rú géshān,Gehangrugeshan,5
358,一亩三分地,yī mǔ sān fēn de,Third of an acre,5
359,成也萧何，败也萧何,"chéng yě xiāohé, bài yě xiāohé",Winning or losing does not matter,9
360,大水冲了龙王庙,dà shuǐ chōngle lóngwáng miào,Big flush of the Dragon King Temple,7
361,乱弹琴,luàntán qín,Playin,3
362,挤牙膏,jǐ yágāo,Squeezing toothpaste,3
